  INFO root [2018-08-20 14:27:28,628] - 
 DEBUG root [2018-08-20 21:53:05,432] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2018-08-20 21:53:05,433] - ClientSDK::writeEntityDefsModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2018-08-20 21:53:05,435] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2018-08-20 21:53:05,437] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2018-08-20 21:53:05,439] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Avatar
 DEBUG root [2018-08-20 21:53:05,440] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/AvatarBase.cs
 DEBUG root [2018-08-20 21:53:05,442] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallAvatarBase.cs
 DEBUG root [2018-08-20 21:53:05,443] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Halls
 DEBUG root [2018-08-20 21:53:05,445] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/HallsBase.cs
 DEBUG root [2018-08-20 21:53:05,447] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallHallsBase.cs
 DEBUG root [2018-08-20 21:53:05,448] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Room
 DEBUG root [2018-08-20 21:53:05,449] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2018-08-20 21:53:05,450] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallRoomBase.cs
 DEBUG root [2018-08-20 21:53:05,451] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-08-20 21:53:05,452] - ClientSDK::writeServerErrorDescrsModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins//
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-08-20 21:53:05,452] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-08-20 21:53:05,453] - Script::uninstall_py_dlls(): PyInit_unicodedata
 DEBUG root [2018-08-20 21:53:05,453] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/ServerErrorDescrs.h
 DEBUG root [2018-08-20 21:53:05,454] - ClientSDK::writeEngineMessagesModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins//Messages.cpp
 DEBUG root [2018-08-20 21:53:05,459] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.cpp
 DEBUG root [2018-08-20 21:53:05,461] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.h
